created_at,entry_id,field1,field2,field3
2026-07-02 16:21:01 UTC,195,29.30000,70.00000,70
2026-07-02 16:21:54 UTC,196,29.30000,70.00000,70
2026-07-02 16:22:19 UTC,197,29.30000,70.00000,70
2026-07-02 16:22:44 UTC,198,29.30000,70.00000,70
2026-07-02 16:23:11 UTC,199,29.30000,71.00000,50
2026-07-02 16:23:36 UTC,200,29.30000,71.00000,50
2026-07-02 16:24:02 UTC,201,29.30000,71.00000,50
2026-07-02 16:24:27 UTC,202,29.30000,71.00000,50
2026-07-02 16:24:52 UTC,203,29.30000,71.00000,50
2026-07-02 16:25:18 UTC,204,29.30000,71.00000,50
2026-07-02 16:25:43 UTC,205,29.30000,71.00000,50
2026-07-02 16:26:09 UTC,206,29.30000,71.00000,50
2026-07-02 16:26:35 UTC,207,29.30000,71.00000,50
2026-07-02 16:27:01 UTC,208,29.30000,71.00000,50
2026-07-02 16:27:28 UTC,209,29.30000,71.00000,50
2026-07-02 16:27:53 UTC,210,29.30000,71.00000,50
2026-07-02 16:28:18 UTC,211,29.30000,71.00000,50
2026-07-02 16:28:45 UTC,212,29.30000,71.00000,50
2026-07-02 16:29:10 UTC,213,29.30000,71.00000,50
2026-07-02 16:29:36 UTC,214,29.30000,71.00000,50
2026-07-02 16:30:01 UTC,215,29.30000,71.00000,50
2026-07-02 16:30:26 UTC,216,29.30000,71.00000,50
2026-07-02 16:30:56 UTC,217,29.30000,71.00000,50
2026-07-02 16:31:22 UTC,218,29.30000,71.00000,50
2026-07-02 16:31:47 UTC,219,29.30000,71.00000,50
2026-07-02 16:32:14 UTC,220,29.30000,71.00000,50
2026-07-02 16:32:44 UTC,221,29.30000,71.00000,50
2026-07-02 16:33:09 UTC,222,29.30000,72.00000,50
2026-07-02 16:42:25 UTC,223,29.80000,72.00000,50
2026-07-02 16:42:51 UTC,224,29.80000,72.00000,50
2026-07-02 16:43:32 UTC,225,29.80000,71.00000,50
2026-07-02 16:43:58 UTC,226,29.80000,72.00000,50
2026-07-02 16:44:24 UTC,227,29.80000,72.00000,50
2026-07-02 16:44:50 UTC,228,29.80000,72.00000,50
2026-07-02 16:45:15 UTC,229,29.80000,72.00000,50
2026-07-02 16:45:39 UTC,230,29.80000,72.00000,50
2026-07-02 16:46:04 UTC,231,29.80000,72.00000,50
2026-07-02 16:46:31 UTC,232,29.80000,72.00000,50
2026-07-02 16:46:52 UTC,233,29.90000,76.00000,50
2026-07-02 16:47:19 UTC,234,30.20000,71.00000,30
2026-07-02 16:47:44 UTC,235,30.20000,71.00000,30
2026-07-02 16:48:10 UTC,236,30.20000,70.00000,50
2026-07-02 16:48:37 UTC,237,30.20000,71.00000,30
2026-07-02 16:49:04 UTC,238,30.20000,71.00000,30
2026-07-02 16:49:29 UTC,239,30.20000,72.00000,30
2026-07-02 16:49:55 UTC,240,30.20000,71.00000,30
2026-07-02 16:50:24 UTC,241,30.20000,70.00000,50
2026-07-02 16:50:41 UTC,242,30.20000,70.00000,50
2026-07-02 16:51:06 UTC,243,30.20000,70.00000,50
2026-07-02 16:51:34 UTC,244,30.20000,70.00000,50
2026-07-02 16:51:59 UTC,245,29.80000,71.00000,50
2026-07-02 16:52:25 UTC,246,29.80000,71.00000,50
2026-07-02 16:52:50 UTC,247,29.80000,71.00000,50
2026-07-02 16:53:16 UTC,248,29.80000,71.00000,50
2026-07-02 16:53:43 UTC,249,29.80000,71.00000,50
2026-07-02 16:54:08 UTC,250,29.80000,71.00000,50
2026-07-02 16:54:34 UTC,251,29.80000,71.00000,50
2026-07-02 16:55:01 UTC,252,29.80000,71.00000,50
2026-07-02 16:55:27 UTC,253,29.80000,71.00000,50
2026-07-02 16:55:53 UTC,254,29.80000,72.00000,50
2026-07-02 16:56:19 UTC,255,29.80000,72.00000,50
2026-07-03 04:53:44 UTC,256,28.90000,70.00000,70
2026-07-14 04:53:42 UTC,257,25.80000,47.00000,85
2026-07-14 04:54:06 UTC,258,25.30000,47.00000,85
2026-07-14 04:54:30 UTC,259,25.30000,47.00000,85
2026-07-14 04:54:54 UTC,260,24.80000,47.00000,100
2026-07-14 04:55:18 UTC,261,24.80000,48.00000,100
2026-07-14 04:55:42 UTC,262,24.80000,48.00000,100
2026-07-14 04:56:08 UTC,263,24.50000,48.00000,100
2026-07-14 04:56:33 UTC,264,24.50000,48.00000,100
2026-07-14 04:56:58 UTC,265,24.50000,49.00000,100
2026-07-14 04:57:21 UTC,266,24.50000,49.00000,100
2026-07-14 04:57:46 UTC,267,24.50000,49.00000,100
2026-07-14 04:58:10 UTC,268,24.10000,49.00000,100
2026-07-14 04:58:34 UTC,269,24.10000,49.00000,100
2026-07-14 04:58:58 UTC,270,24.10000,49.00000,100
2026-07-14 04:59:23 UTC,271,24.10000,49.00000,100
2026-07-14 04:59:48 UTC,272,24.10000,50.00000,100
2026-07-14 05:00:12 UTC,273,24.10000,50.00000,100
2026-07-14 05:00:37 UTC,274,24.10000,50.00000,100
2026-07-14 05:01:01 UTC,275,24.10000,51.00000,100
